question,choices,subject,answer
نیش توازن میں،,سپلائی وکر ڈیمانڈ وکر کو کاٹتا ہے۔|کسی بھی فریق کو اپنی حکمت عملی سے ہٹنے کی ترغیب نہیں ہے۔|معمولی آمدنی کا منحنی خطوط لاگت کے منحنی خطوط کو کاٹتا ہے۔|توازن غیر مستحکم ہے اور ہر فریق حکمت عملی کو تبدیل کرنا چاہے گا۔,high_school_microeconomics,1
مانگ کی کراس قیمت کی لچک پر ایک مثبت علامت یہ بتاتی ہے کہ دو مصنوعات ہیں۔,آسائشیں|ضروریات|متبادل|تکمیل,high_school_microeconomics,2
ایک مصنوعات کی مانگ کی قیمت لچک زیادہ ہے اگر,صارفین کے بجٹ کی بھلائی کا تناسب زیادہ ہے۔|قیمت میں تبدیلی کا جواب دینے کے لیے وقت کی مدت مختصر ہے۔|متبادل مصنوعات کی تعداد محدود ہے۔|مصنوعات کی ضرورت ہے.,high_school_microeconomics,0
قیمت میں امتیازی اجارہ داری غیر امتیازی اجارہ داری سے مختلف ہوتی ہے کیونکہ امتیازی اجارہ داری,ایک مطالبہ وکر ہے جو غیر امتیازی اجارہ داری سے زیادہ لچکدار ہے۔|غیر امتیازی اجارہ داری سے کم آمدنی حاصل کرتا ہے۔|غیر امتیازی اجارہ داری سے زیادہ آمدنی حاصل کرتا ہے۔|ایک غیر امتیازی اجارہ داری سے کم پیدا کرے گا۔,high_school_microeconomics,2
جب بھی مسٹر ہیم اپنی دکان میں دوسرا پیزا بناتے ہیں، وہ اوپر $0.45 مالیت کی چٹنی رکھتے ہیں۔ مسٹر ہیم کے لیے، پیزا ساس کی قیمت مندرجہ ذیل میں سے کس کا حصہ ہے؟ I. کل مقررہ لاگت II. کل متغیر لاگت III۔ معمولی لاگت IV۔ کل اخراجات,صرف I اور IV|صرف II اور III|صرف II اور IV|صرف II، III، اور IV,high_school_microeconomics,3
لاگت میں اضافے کا قانون بیان کرنے میں مفید ہے۔,ایک مطالبہ وکر.|ایک معمولی فائدہ کا وکر۔|ایک لکیری پیداوار امکان فرنٹیئر.|ایک مقعر پیداوار امکان فرنٹیئر.,high_school_microeconomics,3
فرض کریں کہ ایلومینیم سائیکلوں کی تیاری میں کلیدی پیداواری ان پٹ ہے۔ اگر ایلومینیم کی قیمت گرتی ہے، اور دیگر تمام متغیرات کو مستقل رکھا جاتا ہے، تو ہم توقع کرتے ہیں۔,ایلومینیم کی مانگ میں اضافہ|سائیکلوں کی فراہمی میں اضافہ|گرنے کے لئے سائیکلوں کی فراہمی.|سائیکلوں کی مانگ میں اضافہ,high_school_microeconomics,1
سیلز ٹیکس جو آپ گروسری اسٹور پر ادا کرتے ہیں عام طور پر a کا لیبل لگایا جاتا ہے۔,ترقی پسند ٹیکس|رجعت پسند ٹیکس|متناسب ٹیکس|ایکسائز ٹیکس۔,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سا فری رائڈر اثر کی بہترین مثال ہے؟,آپ اور ایک دوست اپنے دوست کی کار میں فلوریڈا کے لیے سڑک کا سفر کرتے ہیں۔ آپ گیس کی ادائیگی کریں۔|آپ کے دوست کو معاشیات میں ٹیوشن دینے کے بدلے میں، وہ آپ کی جیومیٹری اسائنمنٹ میں آپ کی مدد کرتی ہے۔|آپ نے فی ویو پے پر ایک بڑے کالج فٹ بال گیم کا آرڈر دیا ہے، اور آپ کے بہت سے دوست اسے آپ کی جگہ پر دیکھنے کے لیے غیر اعلانیہ دکھاتے ہیں۔|آپ اپنا ڈیٹ ڈنر خریدتے ہیں، لیکن آپ کی تاریخ سرور کے لیے ایک ٹپ چھوڑنے پر اصرار کرتی ہے۔,high_school_microeconomics,2
مندرجہ ذیل میں سے کون سی منفی خارجیت کی بہترین مثال اور اسے ختم کرنے کے لیے مناسب منصوبہ ہے؟,ایک فیکٹری سے ہوا کی آلودگی نیچے کی ہوا کو اڑا دیتی ہے اور ایک چھوٹی کمیونٹی کے بچوں کو نقصان پہنچاتی ہے۔ کمیونٹی کے شہریوں پر ٹیکس لگائیں۔|آپ کا پڑوسی اپنے سامنے کے صحن میں ایک خوشبودار کھلتا ہوا چیری کا درخت لگاتا ہے۔ اپنے پڑوسی کو درخت کی سبسڈی دیں۔|ہاگ فارم کا فضلہ پڑوسی کے پینے کے پانی کو آلودہ کرتا ہے۔ ہاگ فارمرز کو سبسڈی دیں۔|پاور پلانٹ سے ہوا کی آلودگی نیچے کی ہوا کو اڑا رہی ہے اور آپ کی کمیونٹی میں درختوں کو نقصان پہنچا رہی ہے۔ بجلی کی پیداوار پر ٹیکس لگائیں۔,high_school_microeconomics,3
اگر حکومت مختص موثر مقدار میں پیداوار کے لیے اجارہ داری کو منظم کرتی ہے، تو درج ذیل میں سے کون سا درست ہوگا؟,اجارہ داری بھی ٹوٹ جائے گی۔|اجارہ داری کو معاشی نقصان اٹھانا پڑے گا۔|اجارہ داری معاشی منافع کمائے گی۔|اس مارکیٹ میں ڈیڈ ویٹ میں کمی آئے گی۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون اس بات کی طرف اشارہ کرتا ہے کہ دو سامان تکمیلی ہیں؟,ایک مثبت آمدنی کی لچک|ایک افقی ڈیمانڈ وکر|ایک منفی کراس قیمت لچک|ایک سے زیادہ مانگ کی لچک,high_school_microeconomics,2
اگر حکومت ہالوجن ہیڈلائٹس کی پیداوار پر سبسڈی دیتی ہے،,ڈیمانڈ وکر بائیں طرف منتقل ہو جائے گا۔|مطالبہ وکر دائیں طرف منتقل ہو جائے گا۔|سپلائی وکر بائیں طرف منتقل ہو جائے گا۔|سپلائی وکر دائیں طرف منتقل ہو جائے گا۔,high_school_microeconomics,3
فرض کریں کہ کاؤنٹی حکومت ہر والدین کو ایک کوپن بھیجتی ہے جو ہر بچے کو ڈے کیئر میں بھیجنے کی لاگت کو سبسڈی دینے کے لیے استعمال کیا جا سکتا ہے۔ آپ ڈے کیئر سروسز کے لیے مارکیٹ میں کیا ہونے کی توقع کریں گے؟,ڈے کیئر کی مانگ گرتی ہے، مارکیٹ کی قیمت کم ہوتی ہے۔|ڈے کیئر کی مانگ بڑھتی ہے، مارکیٹ کی قیمت میں اضافہ ہوتا ہے۔|ڈے کیئر کی سپلائی بڑھتی ہے، مارکیٹ کی قیمت کم ہوتی ہے۔|ڈے کیئر کی سپلائی گرتی ہے، مارکیٹ کی قیمت میں اضافہ ہوتا ہے۔,high_school_microeconomics,1
مندرجہ ذیل میں سے کون سا اجارہ داری مقابلہ کی خصوصیت ہے؟,طویل مدت میں اقتصادی طور پر موثر۔|طویل مدت میں کم از کم ATC پر قیمتوں کا تعین۔|اضافی صلاحیت۔|بہت کم حریف۔,high_school_microeconomics,2
مندرجہ ذیل میں سے کون سا فری مارکیٹ سسٹم کا بنیادی پہلو ہے؟,حکومتی شمولیت کی اعلیٰ سطح۔|وسائل کی عوامی ملکیت۔|نجی ملکیت۔|مرکزی منصوبہ ساز اجرت اور قیمتیں طے کرتے ہیں۔,high_school_microeconomics,2
ایک قیمت کی حد کی طرف سے خصوصیات ہے,اچھی کی موجودہ (یا توازن) مارکیٹ قیمت سے نیچے مقرر کردہ قیمت۔|اچھی کی موجودہ (یا توازن) مارکیٹ قیمت سے اوپر مقرر کردہ قیمت۔|ڈیمانڈ وکر کی تبدیلی (فنکشن)۔|سپلائی وکر کی تبدیلی۔,high_school_microeconomics,0
ایلسا اپنے وقت کی قدر $50 فی گھنٹہ کرتی ہے، اور ڈیوڈ کو دو گھنٹے ٹیوٹر کرتی ہے۔ ڈیوڈ دو گھنٹے کی ٹیوشن کے لیے $175 ادا کرنے کو تیار ہے، لیکن وہ پورے دو گھنٹے کے لیے $125 کی قیمت پر بات چیت کرتے ہیں۔ مندرجہ بالا لین دین کے بارے میں مندرجہ ذیل میں سے کون سا بیان درست ہے:,صارفین کا سرپلس پروڈیوسر سرپلس سے $50 اور $75 کے درمیان زیادہ ہے۔|پروڈیوسر سرپلس صارفین کے سرپلس سے $50 اور $75 کے درمیان زیادہ ہے۔|صارفین کا سرپلس پروڈیوسر سرپلس سے $75 سے زیادہ ہے۔|صارف اور پروڈیوسر سرپلس کے درمیان فرق $25 ہے۔,high_school_microeconomics,3
اگر صارف کو ہر ایک کوکی کے لیے مالیاتی قیمت ادا کرنے کی ضرورت نہیں ہے جو وہ استعمال کرتی ہے، تو صارف کوکیز کھانا بند کر دے گا جب,کوکیز کھانے سے کل افادیت صفر کے برابر ہے۔|متبادل اثر کوکیز کھانے سے ہونے والی آمدنی کے اثر سے زیادہ ہے۔|مارجنل یوٹیلیٹی کا تناسب کل افادیت سے تقسیم ایک کے برابر ہے۔|آخری کوکی کھانے سے معمولی افادیت صفر ہے۔,high_school_microeconomics,3
ایک مسابقتی فرم کے لیے، مختصر مدت میں بند کرنے کا فیصلہ کرنے میں سب سے اہم چیز کیا ہے؟,AVC کا MR سے موازنہ کریں۔|TR کا TC سے موازنہ کریں۔|اگر TFC ریونیو میں شامل نہ ہو تو پیدا نہ کریں۔|قیمت سے قطع نظر مانگی گئی سب سے زیادہ مقدار پیدا کریں۔,high_school_microeconomics,0
اجارہ داری کے مقابلے میں کون سا سچ ہے؟,کمپنیاں طویل مدتی معاشی منافع کماتی ہیں۔|P = MR = MC = ATC۔|فرمیں اپنی مصنوعات کی تفریق اور تشہیر کے لیے رقم خرچ کرتی ہیں۔|طویل مدت میں مارکیٹ مختص طور پر موثر ہے۔,high_school_microeconomics,2
لان کی کٹائی کی خدمات کے لیے سپلائی وکر اس کی وجہ سے اوپر کی طرف ڈھلوان ہونے کا امکان ہے۔,معمولی اخراجات میں کمی|وقت کی موقع کی قیمت میں اضافہ|معمولی افادیت کو کم کرنا|پیمانے پر واپسی میں اضافہ,high_school_microeconomics,1
محنت، انسانی سرمایہ، کاروبار، قدرتی وسائل اور جسمانی سرمایہ درج ذیل میں سے کس کی مثالیں ہیں؟,عوامی سامان|چھوٹی موٹی چیزیں|پیداوار کے عوامل|آؤٹ پٹس,high_school_microeconomics,2
معمولی افادیت کو کم کرنے کے اصول کے مطابق،,معمولی افادیت ایک ہی رہتی ہے۔|کل افادیت ایک ہی رہتی ہے۔|استعمال ہونے والے سامان کی ہر اضافی یونٹ کے ساتھ معمولی افادیت کم ہوتی ہے۔|معمولی افادیت اور کل افادیت دونوں میں کمی آتی ہے۔,high_school_microeconomics,2
نیچے کی طرف ڈھلوان طلب وکر کی جزوی طور پر وضاحت درج ذیل میں سے کس کے ذریعے کی گئی ہے؟,متبادل اثرات اور آمدنی کے اثرات|معمولی اخراجات میں اضافے کا قانون|تقابلی فائدہ کا اصول|حاشیہ کو کم کرنے کا قانون پیداوار کی طرف لوٹتا ہے۔,high_school_microeconomics,0
اگر ایک مارکیٹ ایک کارٹیل کے ذریعہ منظم ہے، تو ہم توقع کر سکتے ہیں۔,تمام کارٹیل فرموں کے لیے عام منافع۔|کارٹیل فرموں کے لیے کارٹیل معاہدے پر دھوکہ دینے کی ترغیب۔|کارٹیل میں انفرادی فرموں کے ذریعہ زیادہ سے زیادہ منافع۔|مختص کی کارکردگی.,high_school_microeconomics,1
اپنے سب سے اچھے دوست کی سالگرہ کی تقریب میں، آپ دیکھتے ہیں کہ Skylar کیک کے دوسرے ٹکڑے میں خود کی مدد کرتا ہے۔ اس فرد کے لیے ایسا ہی ہونا چاہیے۔,کیک کے دوسرے ٹکڑے کا معمولی فائدہ معمولی قیمت سے کم ہے۔|کیک کھانے سے حاصل ہونے والا کل فائدہ گر رہا ہے۔|معمولی لاگت پر معمولی فائدے کا تناسب ایک سے کم ہے۔|کیک کے دوسرے ٹکڑے کا معمولی فائدہ معمولی قیمت سے زیادہ ہے۔,high_school_microeconomics,3
مختصر مدت میں، ایک فرم گیجٹ تیار کرنے کے لیے محنت اور سرمایہ لگاتی ہے۔ اگر سرمائے کی سالانہ قیمت بڑھ جاتی ہے تو مختصر مدت کے لاگت کے منحنی خطوط کا کیا ہوگا؟,معمولی لاگت اور اوسط متغیر لاگت کے منحنی خطوط اوپر کی طرف بڑھیں گے۔|اوسط مقررہ لاگت اور اوسط کل لاگت کے منحنی خطوط اوپر کی طرف بڑھیں گے۔|معمولی لاگت اور اوسط مقررہ لاگت کے منحنی خطوط اوپر کی طرف بڑھیں گے۔|معمولی لاگت، اوسط مقررہ لاگت، اوسط متغیر لاگت، اور اوسط کل لاگت کے منحنی خطوط سب اوپر کی طرف بڑھیں گے۔,high_school_microeconomics,1
قیمت کی منزل کے بارے میں مندرجہ ذیل میں سے کون سا سچ ہے؟,یہ حکومتی پالیسی کو درست کرنے کے لیے استعمال ہوتا ہے۔|یہ اس وقت استعمال ہوتا ہے جب توازن کی قیمت بہت زیادہ ہو۔|یہ توازن کی قیمت کے اوپر واقع ہوگا۔|یہ توازن کی قیمت سے نیچے واقع ہوگا۔,high_school_microeconomics,2
مندرجہ ذیل میں سے کون سا سچ ہے؟,اوسط کل لاگت = کل مقررہ اخراجات کو تیار کردہ یونٹس کی تعداد سے تقسیم کیا جاتا ہے۔|اوسط کل لاگت = اوسط متغیر اخراجات کو تیار کردہ یونٹس کی کل تعداد سے تقسیم کیا جاتا ہے۔|اوسط کل لاگت = اوسط متغیر لاگت کے علاوہ معمولی لاگت۔|اوسط کل لاگت = اوسط متغیر لاگت کے علاوہ اوسط مقررہ لاگت۔,high_school_microeconomics,3
اولیگوپولی کے طور پر بیان کردہ ایک صنعت کا امکان زیادہ تر ہوگا۔,طویل مدت میں عام منافع.|اجتماعی سلوک کے مواقع نہیں ہیں۔|داخلے میں اہم رکاوٹیں|قیمت لینے کا رویہ,high_school_microeconomics,2
لیبر کی طلب کے بارے میں مندرجہ ذیل میں سے کون صحیح ہے؟,مزدوری کی طلب دیگر آدانوں یا وسائل کی طلب سے آزاد ہے۔|مزدوری کی طلب محنت کے ذریعہ تیار کردہ مصنوعات کی طلب سے آزاد ہے۔|مزدوری کی طلب دیگر آدانوں یا وسائل کی دستیابی سے آزاد ہے۔|محنت کی طلب محنت سے تیار کردہ مصنوعات کی طلب سے حاصل ہوتی ہے۔,high_school_microeconomics,3
مکمل طور پر مسابقتی فرم کے لیے طویل مدت میں درج ذیل میں سے کون درست نہیں ہے؟,قیمت = کم از کم اوسط قیمت۔|قیمت = معمولی آمدنی۔|قیمت = کم از کم اوسط متغیر لاگت۔|قیمت = معمولی قیمت۔,high_school_microeconomics,2
ایک بالکل مسابقتی فرم کی مصنوعات کے لیے مانگ کا وکر ہے۔,نیچے کی طرف ڈھلوان اور مارکیٹ ڈیمانڈ وکر کے برابر۔|بالکل لچکدار.|بالکل غیر لچکدار.|جاری مارکیٹ کی قیمت پر کنکر.,high_school_microeconomics,1
عام سامان میں ہمیشہ ایک/این ہوتا ہے۔,لچکدار مطالبہ وکر|غیر لچکدار مطالبہ وکر|لچکدار سپلائی وکر|مثبت آمدنی کی لچک,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا ایک فرم کی اجارہ داری کی قیمتوں یا مارکیٹ کی طاقت کے پیمانہ کی نمائندگی کرتا ہے، یعنی انڈیکس کی قدر جتنی زیادہ ہوگی، فرم کی مارکیٹ کی قیمتوں کا تعین کرنے کی طاقت اتنی ہی زیادہ ہوگی؟,(MC-P)/MC|(MC-P)/P|(P-MC)/P|(P-MC)/MC,high_school_microeconomics,2
لیبر کے لیے مارکیٹ کی طلب کا وکر اس کے نتیجے میں بائیں طرف منتقل ہو جائے گا۔,اس چیز کی قیمت میں اضافہ جو مزدور پیدا کر رہا ہے۔|اس چیز کی طلب میں اضافہ جو مزدور پیدا کر رہا ہے۔|مزدوروں کو ادا کی جانے والی اجرت کی شرح میں اضافہ|محنت کی معمولی پیداوار میں کمی,high_school_microeconomics,3
"""ماں اور پاپ"" کی ملکیت والے کاروبار کے مواقع کے اخراجات یا مضمر اخراجات یہ ہیں:",اکاؤنٹنگ اخراجات کے برابر|اکاؤنٹنگ منافع کے برابر.|کمائی یا منافع کے برابر جو وسائل کا استعمال کرتے ہوئے کہیں اور ہو سکتا تھا۔|ماں اور پاپ کے کاروبار کے لیے ہونے والی آمدنی یا منافع کے برابر۔,high_school_microeconomics,2
صفر معاشی منافع کمانے والی مسابقتی فرم کا مالک,بند کرنے پر غور کرنا چاہئے کیونکہ وہ کہیں اور بنا سکتی ہے۔|معمول سے کم منافع کما رہا ہے۔|بالکل وہی بنا رہی ہے جو وہ اپنی اگلی بہترین متبادل ملازمت میں کرے گی۔|زیادہ تر ممکنہ طور پر طویل مدت میں زیادہ منافع کمائے گا۔,high_school_microeconomics,2
اگر مارکیٹ کی قیمت بالکل مسابقتی فرم کے اوسط کل لاگت کے منحنی خطوط سے اوپر ہے، تو ہم توقع کرتے ہیں کہ طویل مدت میں،,جب کمپنیاں مارکیٹ سے باہر نکلتی ہیں تو صنعت کا معاہدہ ہوتا ہے۔|جب فرموں کے بازار سے باہر نکلتے ہیں تو صنعت پھیلتی ہے۔|جب کمپنیاں مارکیٹ میں داخل ہوتی ہیں تو صنعت کا معاہدہ ہوتا ہے۔|جب فرمیں مارکیٹ میں داخل ہوتی ہیں تو صنعت پھیلتی ہے۔,high_school_microeconomics,3
زمین، محنت، سرمایہ اور کاروباری صلاحیتوں کو اکثر کہا جاتا ہے۔,پیداوار کے امکانات.|اشیاء اور خدمات۔|لامحدود انسان کی خواہشات۔|اقتصادی وسائل کی کمی.,high_school_microeconomics,3
مندرجہ ذیل میں سے کس سامان میں سب سے زیادہ لچکدار ڈیمانڈ وکر ہونے کا امکان ہے؟,سفید فورڈ منی وینز کا مطالبہ|آٹوموبائل کی مانگ|فورڈ آٹوموبائل کی مانگ|امریکی ساختہ آٹوموبائل کی مانگ,high_school_microeconomics,0
ڈیڈ ویٹ میں کمی واقع ہوتی ہے۔,اجارہ داری مقابلہ بطور P > MC۔|اجارہ داری منڈیوں کی وجہ سے P > MC۔|اولیگوپولی مارکیٹس کیونکہ P > MC۔|اوپر کا سارا۔,high_school_microeconomics,3
انفرادی فرم، کامل مسابقت کے تحت کام کرتی ہے، اس کی خصوصیات یہ ہیں:,قیمت بنانے والا۔|چند بیچنے والوں میں سے ایک۔|ایک قیمت حکمت عملی.|ایک قیمت لینے والا.,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا عوامی سامان سے وابستہ ہے؟ I. مفت سوار II۔ سماج III کے لیے ڈیمانڈ کروز کو عمودی طور پر شامل کرنا۔ کھپت میں عدم مقابلہ IV۔ ناقابل استثنیٰ,صرف I اور II|صرف I اور IV|صرف II اور III|I، II، III، اور IV,high_school_microeconomics,3
خالص عوامی بھلائی کے بارے میں مندرجہ ذیل میں سے کون سا سچ ہے؟,اضافی شہریوں کو سامان کی اضافی یونٹ فراہم کرنے کی معمولی لاگت صفر سے زیادہ ہے۔|صارفین کو اس کی ادائیگی نہ کرکے اس کے فوائد سے محروم رکھا جاسکتا ہے۔|کچھ صارفین کے لیے عوامی بھلائی کی ایک اور یونٹ کا مطلب ہے دوسرے صارفین کے لیے ایک کم یونٹ۔|اچھی چیزوں کو مجرد اکائیوں میں تقسیم نہیں کیا جا سکتا۔,high_school_microeconomics,3
نینسی کے پاس امتحان کے لیے ایک گھنٹہ مطالعہ کرنے، $6 کی اجرت پر ایک گھنٹے کے لیے لان کی کٹائی کرنے، یا $8 کی اجرت پر اپنی بھانجی کو ایک گھنٹے کے لیے بچوں کی دیکھ بھال کرنے کا انتخاب ہے۔ اگر ہم جانتے ہیں کہ نینسی نے امتحان کے لیے مطالعہ کرنے کا انتخاب کیا ہے، تو درج ذیل میں سے کون سا سچ ہے؟,مطالعہ سے حاصل ہونے والا فائدہ $8 کی موقع کی قیمت سے زیادہ ہے۔|مطالعہ کی موقع کی قیمت $14 ہے، جو مطالعہ سے حاصل ہونے والے فائدے سے کم ہے۔|نینسی مطالعہ کرنے اور لان کی کٹائی دونوں سے لاتعلق ہے۔|نینسی کا رویہ غیر معقول ہے، کیونکہ بچوں کی دیکھ بھال دوسرے تمام اختیارات سے واضح طور پر بہتر تھی۔,high_school_microeconomics,0
مندرجہ ذیل میں سے کون سا بیان محنت کی اوسط پیداوار (AP) اور معمولی پیداوار (MP) کے درمیان تعلق کو درست طریقے سے بیان کرتا ہے؟,AP اس وقت طلوع ہوتا ہے جب MP اس کے اوپر ہوتا ہے اور جب MP اس کے نیچے ہوتا ہے۔|MP زیادہ سے زیادہ MP پر AP کو کاٹتا ہے۔|اے پی اور ایم پی ہمیشہ ایک دوسرے کے متوازی ہوتے ہیں۔|AP اور MP دونوں محنت کی تمام سطحوں پر یا تو بڑھ رہے ہیں یا دونوں گر رہے ہیں۔,high_school_microeconomics,0
چونکہ نسبتاً کم آمدنی والے لوگ نسبتاً زیادہ آمدنی والے لوگوں کی نسبت اپنی آمدنی کا ایک بڑا حصہ کھانے پر خرچ کرتے ہیں، کھانے پر سیلز ٹیکس ٹیکس کے کس زمرے میں آتا ہے؟,ترقی پسند|متناسب|رجعت پسند|غیر جانبدار,high_school_microeconomics,2
مندرجہ ذیل میں سے کون سا اجرت کے فرق کا ذریعہ نہیں ہے؟,انسانی سرمائے کے اسٹاک میں فرق۔|نسلی یا صنفی امتیاز۔|کارکنوں کی عدم استحکام۔|شرح پیدائش میں کمی۔,high_school_microeconomics,3
مندرجہ ذیل میں سے کون سا یقینی طور پر مسابقتی مارکیٹ میں اچھے تبادلے کی توازن کی قیمت کو کم کرتا ہے؟,ڈیمانڈ وکر دائیں طرف شفٹ ہو جاتا ہے۔|سپلائی وکر بائیں طرف شفٹ ہو جاتا ہے۔|ڈیمانڈ وکر بائیں طرف شفٹ ہوتا ہے، اور سپلائی وکر دائیں طرف شفٹ ہوتا ہے۔|ڈیمانڈ وکر دائیں طرف شفٹ ہو جاتا ہے، اور سپلائی کریو بائیں طرف شفٹ ہو جاتا ہے۔,high_school_microeconomics,2
طویل مدت میں کامل مقابلے کے تحت کام کرنے والی فرم کے لیے مندرجہ ذیل میں سے کون سا درست ہے؟,فرم غیر قیمتوں کے مقابلے میں حصہ لے گی۔|فرم کو معاشی منافع کا احساس ہوگا۔|فرم کو معاشی نقصان اٹھانا پڑے گا۔|فرم کو صفر معاشی منافع کا احساس ہو گا۔,high_school_microeconomics,3
ایک اچھے کے لئے مارکیٹ میں ایک منفی خارجیت موجود ہے جب,مارکیٹ اس اچھے کی پیداوار کے لیے وسائل کو مجموعی طور پر مختص کرتی ہے۔|معاشرے کی طرف سے سپل اوور فوائد حاصل کیے جاتے ہیں۔|معمولی سماجی فائدہ معمولی سماجی لاگت کے برابر ہے۔|کل بہبود زیادہ سے زیادہ ہے.,high_school_microeconomics,0
کون سی خصوصیت ممکنہ طور پر اجارہ داری مارکیٹ کا حصہ ہے لیکن اجارہ داری مقابلہ نہیں؟,تفریق شدہ مصنوعات|پیٹنٹ اور کاپی رائٹس|مختصر مدت میں منافع کا امکان|ڈیڈ ویٹ میں کمی موجود ہے۔,high_school_microeconomics,1
میلانیا ہر روز اپنے دوپہر کے کھانے کے پیسے سیب کھانے میں خرچ کرتی ہے، ہر ایک میں $1، اور سنتری، ہر ایک $2۔ اس کی کھپت کی موجودہ سطح پر، میلانیا کی سیب کی معمولی افادیت 12 ہے اور سنتری کی اس کی معمولی افادیت 18 ہے۔ اگر وہ پہلے ہی اپنے دوپہر کے کھانے کے تمام پیسے خرچ کر چکی ہے، تو میلانیا کو افادیت کو زیادہ سے زیادہ کرنے کے لیے اپنے استعمال کے فیصلے کو کیسے تبدیل کرنا چاہیے؟,اسے کوئی تبدیلی نہیں کرنی چاہیے۔ وہ سیب اور سنتری کے امتزاج کو زیادہ سے زیادہ استعمال کر رہی ہے۔|اسے اپنے سیب کی کھپت میں اضافہ کرنا چاہئے اور سنتری کی کھپت کو کم کرنا چاہئے جب تک کہ فی ڈالر کی معمولی افادیت دونوں کے لئے برابر نہ ہو۔|اسے اپنے سیب کی کھپت کو کم کرنا چاہئے اور سنتری کی کھپت میں اضافہ کرنا چاہئے جب تک کہ فی ڈالر کی معمولی افادیت دونوں کے لئے برابر نہ ہو۔|اسے اپنے سیب کی کھپت میں اضافہ کرنا چاہئے اور سنتری کا استعمال کم کرنا چاہئے جب تک کہ معمولی افادیت دونوں کے لئے برابر نہ ہو۔,high_school_microeconomics,1
مندرجہ ذیل میں سے کون ڈیمانڈ وکر کے پیچھے نظریہ کو بیان کرتا ہے؟,کھپت بڑھنے کے ساتھ ہی معمولی افادیت میں کمی۔|کھپت میں اضافے کے ساتھ ہی معمولی لاگت میں اضافہ۔|کھپت بڑھنے کے ساتھ ہی معمولی لاگت میں کمی۔|کھپت میں اضافے کے ساتھ بڑھتی ہوئی شرح سے کل افادیت میں اضافہ۔,high_school_microeconomics,0
اقتصادیات کو بہترین طور پر بیان کیا گیا ہے۔,اس بات کا مطالعہ کہ لامحدود وسائل کے درمیان کس طرح نایاب مواد کی ضرورت ہوتی ہے۔|اس بات کا مطالعہ کہ کس طرح قلیل محنت کو لامحدود سرمائے سے بدلا جا سکتا ہے۔|اس بات کا مطالعہ کہ فیصلہ ساز کس طرح وسائل کی کمی کے ساتھ اپنی لامحدود مواد کی ضروریات کو پورا کرنے کا بہترین طریقہ منتخب کرتے ہیں۔|اس بات کا مطالعہ کہ کس طرح لامحدود مواد کی خواہشات کو لامحدود مقدار میں پیداواری وسائل مختص کر کے بہترین طریقے سے پورا کیا جا سکتا ہے۔,high_school_microeconomics,2
اچھے X کے لیے مارکیٹ میں ایک مؤثر قیمت کی حد کا امکان ظاہر ہوتا ہے۔,اچھے X کا مستقل فاضل۔|اچھے X کی مسلسل کمی۔|اچھے Y کی مانگ میں اضافہ، اچھے X کا متبادل۔|اچھے Z کی مانگ میں کمی، اچھے X کے ساتھ تکمیل۔,high_school_microeconomics,1
جب کسی چیز کی پیداوار یا کھپت ایک مثبت خارجیت پیدا کرتی ہے تو اسے مارکیٹ کی ناکامی سمجھا جاتا ہے کیونکہ مارکیٹ کی مقدار,معمولی سماجی فائدہ معمولی سماجی لاگت سے زیادہ ہے۔|معمولی سماجی لاگت معمولی سماجی فائدے سے زیادہ ہے۔|معاشرہ بہت زیادہ اچھائی پیدا کرتا ہے۔|اچھی چیزوں کے استعمال کے نجی فوائد سماجی فوائد سے زیادہ ہیں۔,high_school_microeconomics,0
ایک مسابقتی فرم کی لیبر کی طلب کا تعین براہ راست اس سے ہوتا ہے۔,منافع|کارکنوں کے وقت کی موقع کی قیمت|مزدوری کی اجرت اور اوسط (جسمانی) پیداوار|محنت کی معمولی (جسمانی) پیداوار اور پیداوار کی قیمت,high_school_microeconomics,3
جب ایک بالکل مسابقتی لیبر مارکیٹ توازن میں ہو،,ہر کوئی جو کام کرنا چاہتا ہے اسے ایسا کرنے کا موقع ملتا ہے۔|انفرادی فرموں کو نیچے کی طرف ڈھلوان لیبر ڈیمانڈ منحنی خطوط کا سامنا ہے۔|بے روزگاری 10-15 فیصد تک پہنچ سکتی ہے۔|انفرادی فرموں کو اوپر کی طرف ڈھلوان لیبر ڈیمانڈ منحنی خطوط کا سامنا ہے۔,high_school_microeconomics,0
مزدوری کے لیے مارکیٹ کی طلب کا وکر اس وقت دائیں طرف منتقل ہو جائے گا۔,فرموں کی تعداد میں اضافہ|پیداوار کی قیمت کم ہوتی ہے|لیبر سپلائی وکر دائیں طرف شفٹ ہوتا ہے۔|لیبر سپلائی وکر بائیں طرف شفٹ ہو جاتا ہے۔,high_school_microeconomics,0
مندرجہ ذیل میں سے کون سا تاریخی عدم اعتماد ایکٹ نہیں تھا؟,ویگنر ایکٹ|شرمین ایکٹ|کلیٹن ایکٹ|رابنسن-پیٹ مین ایکٹ,high_school_microeconomics,0
